# Declare spectators {flav1:weight1,flav2,weight2,...}
SPECTATORS     | {1:1.}


# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

## (semi)leptonic decays

# b -> c l nu
{-413,12,-11}    | 0.0535(0.002)[PDG]       | B_Dstar2010-nu_ee+.dat;
{-413,14,-13}    | 0.0535(0.002)[PDG]       | B_Dstar2010-nu_mumu+.dat;
{-413,16,-15}    | 0.016[EvtGen]      | B_Dstar2010-nu_tautau+.dat;
{-411,12,-11}    | 0.0212(0.002)[PDG]     | B_D-nu_ee+.dat;
{-411,14,-13}    | 0.0212(0.002)[PDG]     | B_D-nu_mumu+.dat;
{-411,16,-15}    | 0.007[EvtGen]      | B_D-nu_tautau+.dat;
{-10411,12,-11}  | 0.0045[EvtGen]     | B_D0star2400-nu_ee+.dat;
{-10411,14,-13}  | 0.0045[EvtGen]     | B_D0star2400-nu_mumu+.dat;
{-10411,16,-15}  | 0.0013[EvtGen]     | B_D0star2400-nu_tautau+.dat;
{-10413,12,-11}  | 0.0052[EvtGen]     | B_D12420-nu_ee+.dat;
{-10413,14,-13}  | 0.0052[EvtGen]     | B_D12420-nu_mumu+.dat;
{-10413,16,-15}  | 0.0013[EvtGen]     | B_D12420-nu_tautau+.dat;
{-20413,12,-11}  | 0.0083[EvtGen]     | B_D1H-nu_ee+.dat;
{-20413,14,-13}  | 0.0083[EvtGen]     | B_D1H-nu_mumu+.dat;
{-20413,16,-15}  | 0.002[EvtGen]      | B_D1H-nu_tautau+.dat;
{-415,12,-11}    | 0.0023[EvtGen]     | B_D2star2460-nu_ee+.dat;
{-415,14,-13}    | 0.0023[EvtGen]     | B_D2star2460-nu_mumu+.dat;
{-415,16,-15}    | 0.002[EvtGen]      | B_D2star2460-nu_tautau+.dat;

# b -> c pi l nu
{-421,-211,12,-11}       | 3.2e-3(1.0e-3)[PDG]  | B_Dbpi-nu_ee+.dat;
{-421,-211,14,-13}       | 3.2e-3(1.0e-3)[PDG]  | B_Dbpi-nu_mumu+.dat;
{-423,-211,12,-11}       | 6.5e-3(1.5e-3)[PDG]  | B_Dstar2007bpi-nu_ee+.dat;
{-423,-211,14,-13}       | 6.5e-3(1.5e-3)[PDG]  | B_Dstar2007bpi-nu_mumu+.dat;

# b -> u l nu (scalar)
{-211,12,-11}    | 1.36e-4(0.15e-4)[PDG]   | B_pi-nu_ee+.dat;
{-211,14,-13}    | 1.36e-4(0.15e-4)[PDG]   | B_pi-nu_mumu+.dat;
{-211,16,-15}    | 6e-05[EvtGen]      | B_pi-nu_tautau+.dat;
{-10211,16,-15}  | 8e-06[EvtGen]      | B_a0980-nu_tautau+.dat;

# b -> u l nu (vector/tensor)
{-213,12,-11}    | 2.3e-4(0.4e-4)[PDG]   | B_rho770-nu_ee+.dat;
{-213,14,-13}    | 2.3e-4(0.4e-4)[PDG]   | B_rho770-nu_mumu+.dat;
{-213,16,-15}    | 8.3e-05[EvtGen]    | B_rho770-nu_tautau+.dat;
{-20213,16,-15}  | 9e-05[EvtGen]      | B_a11260-nu_tautau+.dat;
{-10213,16,-15}  | 8e-06[EvtGen]      | B_b11235-nu_tautau+.dat;
{-215,16,-15}    | 8e-06[EvtGen]      | B_a21320-nu_tautau+.dat;

# rare decays (FCNC)
{311,11,-11}     | 2.9e-07(1.6e-7)[HFAG0307]      | B_Ke-e+.dat;
{311,13,-13}     | 2.9e-07(1.6e-7)[HFAG0307]      | B_Kmu-mu+.dat;
{311,15,-15}     | 1.3e-07[EvtGen]       | B_Ktau-tau+.dat;
{313,11,-11}     | 8.1e-07(2.3e-7)[HFAG0307]     | B_Kstar892e-e+.dat;
{313,13,-13}     | 8.1e-07(2.3e-7)[HFAG0307]      | B_Kstar892mu-mu+.dat;
{313,15,-15}     | 1.9e-07[EvtGen]       | B_Kstar892tau-tau+.dat;
{313,22}         | 4.01e-05[HFAG0307]  | B_Kstar892P.dat;

### hadronic decays

## b -> c

# b -> c two-body
{411,-411}       | 1.9e-4(0.6e-4)[PDG]   | B_D+D-.dat;
{431,-411}       | 6.5e-3(2.1e-3)[PDG]       | B_Ds+D-.dat;
{10431,-411}     | 0.0016[EvtGen]      | B_Ds0star2317+D-.dat;
{-411,211}       | 3.4e-4(0.9e-3)[PDG]      | B_D-pi+.dat;
{-411,321}       | 2.0e-4(0.6e-4)[PDG]      | B_D-K+.dat;
{-10411,211}     | 0.0002[EvtGen]      | B_D0star2400-pi+.dat;
{413,-411}       | 4.65e-4(1.5e-4)[FS]  | B_Dstar2010+D-.dat;
{433,-411}       | 8.6e-3(3.4e-3)[PDG]        | B_Dsstar+D-.dat;
{10433,-411}     | 0.0041[EvtGen]       | B_Ds12536+D-.dat;
{-413,411}       | 4.65e-4(1.5e-4)[FS]  | B_Dstar2010-D+.dat;
{431,-413}       | 8.8e-3(1.6e-3)[PDG]       | B_Ds+Dstar2010-.dat;
{10431,-413}     | 0.0016[EvtGen]       | B_Ds0star2317+Dstar2010-.dat;
{-413,211}       | 2.76e-3(0.21e-3)[PDG]       | B_Dstar2010-pi+.dat;
{-413,321}       | 2.14e-4(0.2e-4)[PDG]      | B_Dstar2010-K+.dat;
{413,-413}       | 8.3e-4(1.1e-4)[PDG]   | B_Dstar2010+Dstar2010-.dat;
{433,-413}       | 0.0179(0.0016)[PDG]         | B_Dsstar+Dstar2010-.dat;
{10433,-413}     | 0.0098[EvtGen]        | B_Ds12536+Dstar2010-.dat;
{-20413,431}     | 0.0006[EvtGen]       | B_D1H-Ds+.dat;
{-20413,211}     | 0.0001[EvtGen]       | B_D1H-pi+.dat;
{-20413,433}     | 0.0012[EvtGen]        | B_D1H-Dsstar+.dat;
{-20413,213}     | 0.0013[EvtGen]      | B_D1H-rho770+.dat;
{-10413,431}     | 0.0012[EvtGen]       | B_D12420-Ds+.dat;
{-10413,211}     | 0.0006[EvtGen]       | B_D12420-pi+.dat;
{-10413,433}     | 0.0024[EvtGen]        | B_D12420-Dsstar+.dat;
{-10413,213}     | 0.0004[EvtGen]      | B_D12420-rho770+.dat;
{431,-415}       | 0.0042[EvtGen]       | B_Ds+D2star2460-.dat;
{-415,211}       | 1.0e-3[PDG<2.2e-3]       | B_D2star2460-pi+.dat;
{433,-415}       | 0.004[EvtGen]       | B_Dsstar+D2star2460-.dat;
{-415,213}       | 2.2e-3[EvtGenPDG<4.9e-3]      | B_D2star2460-rho770+.dat;
{-431,321}       | 3.1e-05(0.8e-5)[PDG]     | B_Ds-K+.dat;
{-433,321}       | 1.6e-05[EvtGen]      | B_Dsstar-K+.dat;
{-431,323}       | 1.6e-05[EvtGen]      | B_Ds-Kstar892+.dat;
{-433,323}       | 1.6e-05[EvtGen]       | B_Dsstar-Kstar892+.dat;
{-423,-311}      | 4e-05[EvtGen]        | B_Dstar2007bKb.dat;
{-421,-311}      | 5e-05(1.4e-5)[PDG]       | B_DbKb.dat;
{-421,313}       | 5.3e-05(0.8e-5)[PDG]        | B_DbKstar892.dat;
{421,313}        | 1e-05[EvtGen]        | B_DKstar892.dat;
{-423,313}       | 4e-05[EvtGen]         | B_Dstar2007bKstar892.dat;
{423,313}        | 1e-05[EvtGen]         | B_Dstar2007Kstar892.dat;
{-421,111}       | 2.91e-4(0.28e-4)[PDG]     | B_Dbpi.dat;
{-423,111}       | 2.7e-4(0.5e-4)[EvtGen]      | B_Dstar2007bpi.dat;
{-421,113}       | 2.9e-4(1.1e-4)[PDG]      | B_Dbrho770.dat;
{-423,113}       | 0.00029[EvtGen]       | B_Dstar2007brho770.dat;
{-421,221}       | 2.2e-4(0.5e-4)[PDG]     | B_Dbeta.dat;
{-423,221}       | 2.6e-4(0.6e-4)[PDG]      | B_Dstar2007beta.dat;
{-421,331}       | 1.25e-4(0.23e-4)[PDG]     | B_Dbetaprime958.dat;
{-423,331}       | 1.23e-4(0.35e-4)[PDG]      | B_Dstar2007betaprime958.dat;
{-421,223}       | 2.5e-4(0.6e-4)[PDG]      | B_Dbomega782.dat;
{-423,223}       | 4.2e-4(1.1e-4)[PDG]       | B_Dstar2007bomega782.dat;
{-413,323}       | 3.3e-4(0.6e-4)[PDG]       | B_Dstar2010-Kstar892+.dat;
{-411,323}       | 4.5e-4(0.7e-3)[PDG]      | B_D-Kstar892+.dat;

# b -> c three-body
{-411,211,111}   | 0.0082[EvtGen]      | B_D-pi+pi.dat;
{-411,213}       | 0.0 | B_D-rho770+.dat; # ^^ included
{-413,211,111}   | 1.5e-2(0.5e-2)[PDG]      | B_Dstar2010-pi+pi.dat;
{-413,213}       | 0.0 | B_Dstar2010-rho770+.dat; # ^^ included

# b -> c four-body
{-411,211,211,-211}      | 8.0e-3(2.5e-3)[PDG]      | B_D-pi+pi+pi-.dat;
{20213,-411}     | 0.0 | B_a11260+D-.dat; # ^^ included
{-411,211,113}   | 0.0 | B_D-pi+rho770.dat; # ^^ included
{-411,211,111,111}       | 0.00627[EvtGen]       | B_D-pi+pipi.dat;
{20213,-411}     | 0.0 | B_a11260+D-.dat; # ^^ included
{-411,213,111}   | 0.0 | B_D-rho770+pi.dat; # ^^ included
{-413,211,211,-211}      | 7.0e-3(0.8e-3)[PDG]   | B_Dstar2010-pi+pi+pi-.dat;
{20213,-413}     | 0.0 | B_a11260+Dstar2010-.dat; # ^^ included
{-413,211,113}   | 0.0 | B_Dstar2010-pi+rho770.dat; # ^^ included
{-413,211,111,111}       | 0.008[EvtGen]       | B_Dstar2010-pi+pipi.dat;
{20213,-413}     | 0.0 | B_a11260+Dstar2010-.dat; # ^^ included
{-413,213,111}   | 0.0 | B_Dstar2010-rho770+pi.dat; # ^^ included


## b -> u

# b -> u two-body
{111,111}        | 1.5e-06[EvtGen]   | B_pipi.dat;
{221,111}        | 1e-06[EvtGen]     | B_etapi.dat;
{331,111}        | 1e-06[EvtGen]     | B_etaprime958pi.dat;
{10111,111}      | 1e-06[EvtGen]     | B_a0980pi.dat;
{10221,111}      | 1e-06[EvtGen]     | B_f0980pi.dat;
{221,221}        | 1e-06[EvtGen]     | B_etaeta.dat;
{331,221}        | 1e-06[EvtGen]     | B_etaprime958eta.dat;
{10111,221}      | 1e-06[EvtGen]     | B_a0980eta.dat;
{10221,221}      | 1e-06[EvtGen]     | B_f0980eta.dat;
{331,331}        | 1e-06[EvtGen]     | B_etaprime958etaprime958.dat;
{10111,331}      | 1e-06[EvtGen]     | B_a0980etaprime958.dat;
{10221,331}      | 1e-06[EvtGen]     | B_f0980etaprime958.dat;
{10111,10111}    | 1e-06[EvtGen]     | B_a0980a0980.dat;
{10221,10111}    | 1e-06[EvtGen]     | B_f0980a0980.dat;
{10221,10221}    | 1e-06[EvtGen]     | B_f0980f0980.dat;
{311,221}        | 2e-06[EvtGen]     | B_Keta.dat;
{331,311}        | 6.4e-05[EvtGen]   | B_etaprime958K.dat;
{321,-321}       | 1e-06[EvtGen]       | B_K+K-.dat;
{311,111}        | 1.2e-05[EvtGen]     | B_Kpi.dat;
{311,-311}       | 1.2e-06[EvtGen]   | B_KKb.dat;
{10221,311}      | 6e-06[EvtGen]       | B_f0980K.dat;
{10111,311}      | 1e-06[EvtGen]       | B_a0980K.dat;
{10211,-211}     | 1e-06[EvtGen]       | B_a0980+pi-.dat;
{211,-211}       | 4.6e-06[EvtGen]   | B_pi+pi-.dat;
{321,-211}       | 1.8e-05[EvtGen]     | B_K+pi-.dat;
{431,-211}       | 2.2e-05(0.7e-5)[PDG]     | B_Ds+pi-.dat;
{433,-211}	 | 2.6e-05[PDG<4.1e-5]	 | B_Dsstar+pi-.dat;
{-10211,321}     | 1e-06[EvtGen]       | B_a0980-K+.dat;
{-10211,211}     | 3e-06[EvtGen]       | B_a0980-pi+.dat;
{-213,211}       | 0[EvtGen]    | B_rho770-pi+.dat;
{321,-213}       | 9.9e-06[EvtGen]      | B_K+rho770-.dat;
{431,-213}       | 1.6e-05[EvtGen]      | B_Ds+rho770-.dat;
{433,-213}       | 1.6e-05[EvtGen]       | B_Dsstar+rho770-.dat;
#{-100213,211}    | 0[EvtGen]    | B_rho1450-pi+.dat;
{-30213,211}     | 0[EvtGen]    | B_rho1700-pi+.dat;
{-20213,211}     | 4e-05[EvtGen]        | B_a11260-pi+.dat;
{-10213,211}     | 1e-05[EvtGen]        | B_b11235-pi+.dat;
{-10213,321}     | 1e-05[EvtGen]        | B_b11235-K+.dat;
{-20213,321}     | 1e-05[EvtGen]        | B_a11260-K+.dat;

# b -> u three-body
{211,-211,111}   | 2.4e-05[EvtGen]        | B_pi+pi-pi.dat;
{213,-211}       | 0.0 | B_rho770+pi-.dat; # ^^ included
#{100213,-211}    | 0.0 | B_rho1450+pi-.dat; # ^^ included
