# Declare spectators {flav1:weight1,flav2,weight2,...}
SPECTATORS     | {4:0.642,-5:0.321,0}


# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{12,-11}	 | 1.46e-9[FS]	 | Bc+_nu_ee+.dat;
{14,-13}	 | 6.16e-5[FS]	 | Bc+_nu_mumu+.dat;
{16,-15}	 | 0.0152[FS]	 | Bc+_nu_tautau+.dat;
{4,-3}           | 0.037[Lenz]   | Bc+_csb.dat

{441,12,-11}	 | 0.0081[hep-ph/0602050]	 | Bc+_etac1Snu_ee+.dat;
{441,14,-13}	 | 0.0081[hep-ph/0602050]	 | Bc+_etac1Snu_mumu+.dat;
{441,16,-15}	 | 0.0022[hep-ph/0602050]	 | Bc+_etac1Snu_tautau+.dat;

{100441,12,-11}	 | 0.0002[hep-ph/0308214]	 | Bc+_etac2Snu_ee+.dat;
{100441,14,-13}	 | 0.0002[hep-ph/0308214]	 | Bc+_etac2Snu_mumu+.dat;
{100441,16,-15}	 | 1.6e-5[hep-ph/0308214]	 | Bc+_etac2Snu_tautau+.dat;

{443,12,-11}	 | 0.0207[hep-ph/0602050]	 | Bc+_Jpsi1Snu_ee+.dat;
{443,14,-13}	 | 0.0207[hep-ph/0602050]	 | Bc+_Jpsi1Snu_mumu+.dat;
{443,16,-15}	 | 0.0049[hep-ph/0602050]	 | Bc+_Jpsi1Snu_tautau+.dat;

{100443,12,-11}	 | 0.00094[hep-ph/0308214]	 | Bc+_psi2Snu_ee+.dat;
{100443,14,-13}	 | 0.00094[hep-ph/0308214]	 | Bc+_psi2Snu_mumu+.dat;
{100443,16,-15}	 | 8.0e-5[hep-ph/0308214]	 | Bc+_psi2Snu_tautau+.dat;

{10441,12,-11}	 | 0.0017[hep-ph/0602050]	 | Bc+_chic01Pnu_ee+.dat;
{10441,14,-13}	 | 0.0017[hep-ph/0602050]	 | Bc+_chic01Pnu_mumu+.dat;
{10441,16,-15}	 | 0.00013[hep-ph/0602050]	 | Bc+_chic01Pnu_tautau+.dat;

{20443,12,-11}	 | 0.00092[hep-ph/0602050]	 | Bc+_chic11Pnu_ee+.dat;
{20443,14,-13}	 | 0.00092[hep-ph/0602050]	 | Bc+_chic11Pnu_mumu+.dat;
{20443,16,-15}	 | 0.000089[hep-ph/0602050]	 | Bc+_chic11Pnu_tautau+.dat;

{10443,12,-11}	 | 0.0027[hep-ph/0602050]	 | Bc+_hc1Pnu_ee+.dat;
{10443,14,-13}	 | 0.0027[hep-ph/0602050]	 | Bc+_hc1Pnu_mumu+.dat;
{10443,16,-15}	 | 0.00017[hep-ph/0602050]	 | Bc+_hc1Pnu_tautau+.dat;

{445,12,-11}	 | 0.0017[hep-ph/0602050]	 | Bc+_chic21Pnu_ee+.dat;
{445,14,-13}	 | 0.0017[hep-ph/0602050]	 | Bc+_chic21Pnu_mumu+.dat;
{445,16,-15}	 | 0.000082[hep-ph/0602050]	 | Bc+_chic21Pnu_tautau+.dat;

{421,12,-11}	 | 3.5e-5[hep-ph/0602050]	 | Bc+_Dnu_ee+.dat;
{421,14,-13}	 | 3.5e-5[hep-ph/0602050]	 | Bc+_Dnu_mumu+.dat;
{421,16,-15}	 | 2.1e-5[hep-ph/0602050]	 | Bc+_Dnu_tautau+.dat;

{423,12,-11}	 | 3.8e-5[hep-ph/0602050]	 | Bc+_Dstar2007nu_ee+.dat;
{423,14,-13}	 | 3.8e-5[hep-ph/0602050]	 | Bc+_Dstar2007nu_mumu+.dat;
{423,16,-15}	 | 2.2e-5[hep-ph/0602050]	 | Bc+_Dstar2007nu_tautau+.dat;

{531,12,-11}	 | 0.0110[hep-ph/0602050]	 | Bc+_Bsnu_ee+.dat;
{531,14,-13}	 | 0.0110[hep-ph/0602050]	 | Bc+_Bsnu_mumu+.dat;

{533,12,-11}	 | 0.0237[hep-ph/0602050]	 | Bc+_Bsstarnu_ee+.dat;
{533,14,-13}	 | 0.0237[hep-ph/0602050]	 | Bc+_Bsstarnu_mumu+.dat;

{511,12,-11}	 | 7.1e-4[hep-ph/0602050]	 | Bc+_Bnu_ee+.dat;
{511,14,-13}	 | 7.1e-4[hep-ph/0602050]	 | Bc+_Bnu_mumu+.dat;

{513,12,-11}	 | 0.00063[hep-ph/0602050]	 | Bc+_Bstarnu_ee+.dat;
{513,14,-13}	 | 0.00063[hep-ph/0602050]	 | Bc+_Bstarnu_mumu+.dat;

{441,211}	 | 0.0019[hep-ph/0602050]	 | Bc+_etac1Spi+.dat;
{441,213}	 | 0.0045[hep-ph/0602050]	 | Bc+_etac1Srho770+.dat;
{443,211}	 | 0.0017[hep-ph/0602050]	 | Bc+_Jpsi1Spi+.dat;
