# # outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file
#
# Semileptonic decays
#
{-321,-11,12}	 | 0.0350(0.0009) [PDG]	 | D_K-nu_ee+.dat;
{-321,-13,14}	 | 0.0327(0.0013) [PDG]	 | D_K-nu_mumu+.dat;
{-323,-11,12}	 | 0.0216(0.0016) [PDG]	 | D_Kstar892+bnu_ee+.dat;
{-323,-13,14}	 | 0.0194(0.0025) [PDG]	 | D_Kstar892+bnu_mumu+.dat;
{-325,-11,12}	 | 0.0015(0.0015) [FK, from D+]	 | D_K2star1430+bnu_ee+.dat;
{-325,-13,14}	 | 0.0015(0.0015) [FK, from D+]	 | D_K2star1430+bnu_mumu+.dat;
{-10321,-11,12}	 | 0.0015(0.0015) [FK, from D+]	 | D_K0star1430+bnu_ee+.dat;
{-10321,-13,14}	 | 0.0015(0.0015) [FK, from D+]	 | D_K0star1430+bnu_mumu+.dat;
{-10323,-11,12}	 | 0.0015(0.0015) [FK, from D+]	 | D_K11270+bnu_ee+.dat;
{-10323,-13,14}	 | 0.0015(0.0015) [FK, from D+]	 | D_K11270+bnu_mumu+.dat;
{-211,-11,12}	 | 0.0028(0.00017) [PDG]	 | D_pi-nu_ee+.dat;
{-211,-13,14}	 | 0.00236(0.00024) [PDG]	 | D_pi-nu_mumu+.dat;
{-213,-11,12}	 | 0.0019(0.0004)[PDG]	 | D_rho770+bnu_ee+.dat;
{-213,-13,14}	 | 0.0019(0.0004)[PDG]	 | D_rho770+bnu_mumu+.dat;
{-311,-211,-11,12} | 0.0143(0.009)[PDG]	 | D_Kbpi-nu_ee+.dat;
{-311,-211,-13,14} | 0.0143(0.009)[PDG]	 | D_Kbpi-nu_mumu+.dat;
{-321,111,-11,12} | 0.0006(0.0006)[EvtGen]	 | D_K-pinu_ee+.dat;
{-321,111,-13,14} | 0.0006(0.0006)[EvtGen]	 | D_K-pinu_mumu+.dat;
#
# Hadronic decays, 1 K
#
{-321,211}	 | 0.0382(0.0007)[PDG]	 | D_K-pi+.dat;
{-311,111}	 | 0.0113(0.0110)[PDG]	 | D_Kbpi.dat;
{-311,221}	 | 0.0076(0.0025) [PDG]	 | D_Kbeta.dat;
{-311,331}	 | 0.0184(0.0028) [PDG]	 | D_etaprime958Kb.dat;
{-311,223}	 | 0.0260(0.0060) [PDG]	 | D_Kbomega782.dat;
{-313,221}	 | 0.0195(0.0040) [PDG]	 | D_Kstar892beta.dat; # big difference
{-321,20213}	 | 0.075(0.012) [PDG]	 | D_a11260+K-.dat;
{-323,213}	 | 0.064(0.025) [PDG]	 | D_Kstar892+brho770+.dat;
{-313,113}	 | 0.0147(0.0033) [PDG]	 | D_Kstar892brho770.dat;
{-313,223}	 | 0.01(0.036) [PDG]	 | D_Kstar892bomega782.dat;

{-321,211,111}	 | 0.1235(0.006)[PDG]	 | D_K-pi+pi.dat;
{-321,213}	 | 0.0[included]	 | D_K-rho770+.dat;

{-311,113}	 | 0.0152(0.0015)[PDG]	 | D_Kbrho770.dat;
{-311,111,111}	 | 0.0084(0.0022)[PDG]	 | D_Kbpipi.dat;
{-323,211}	 | 0.0633(0.0111) [PDG]	 | D_Kstar892+bpi+.dat;
{-313,111}	 | 0.0267(0.0075) [PDG]	 | D_Kstar892bpi.dat;
{-10323,211}	 | 0.0111(0.0031) [PDG]	 | D_K11270+bpi+.dat;

{-321,211,223}	 | 0.02(0.005) [PDG]	 | D_K-omega782pi+.dat;
{-321,221,211}   | 0.0072(0.0.0018)[FS]	 | D_K-etapi+.dat;
{331,-321,211}   | 0.0072(0.0.0018)[PDG]	 | D_etaprimeK-pi+.dat;

{-321,211,211,-211}	 | 0.0228(0.0025) [PDG]	 | D_K-pi+pi+pi-.dat;
