# Declare spectators {flav1:weight1,flav2,weight2,...}
SPECTATORS     | {2101:1.}

# outgoing part.	 | BR(Delta BR)[Origin]  | DC-file
#
# Modes with nucleons/Deltas
#
{2112,211}	   	 | 0.003[EvtGen]	 | Lambdac+_npi+.dat;
{2112,213}	 	 | 0.003[EvtGen]	 | Lambdac+_nrho770+.dat;
{2212,111}	   	 | 0.002[EvtGen]	 | Lambdac+_P+pi.dat;
{2212,221}	         | 0.001[EvtGen]	 | Lambdac+_P+eta.dat;
{2212,331}	     	 | 0.001[EvtGen]	 | Lambdac+_P+etaprime958.dat;
{2212,113}	     	 | 0.002[EvtGen]	 | Lambdac+_P+rho770.dat;
{2212,223}	     	 | 0.002[EvtGen]	 | Lambdac+_P+omega782.dat;
{2212,-311}	       	 | 0.023(0.006)[PDG]     | Lambdac+_P+Kb.dat;
{2212,-313}	 	 | 0.016(0.005)[PDG]	 | Lambdac+_P+Kstar892b.dat;
{2212,-321,211}        	 | 0.028(0.008)[PDG]     | Lambdac+_P+K-pi+.dat;
{2212,-311,111}	       	 | 0.033(0.010)[PDG]     | Lambdac+_P+Kbpi.dat;
{2212,-311,221}	       	 | 0.012(0.004)[PDG]     | Lambdac+_P+Kbeta.dat;
{2212,-311,211,-211}   	 | 0.026(0.007)[PDG]     | Lambdac+_P+Kbpi+pi-.dat;
{2212,-323,211}	 	 | 0.016(0.005)[PDG]	 | Lambdac+_P+Kstar892+bpi+.dat;
{2212,-321,211,111}    	 | 0.036(0.012)[PDG]     | Lambdac+_P+K-pi+pi.dat;
{2212,-321,211,211,-211} | 0.0011(0.0008)[PDG]   | Lambdac+_P+K-pi+pi+pi-.dat;
{2212,-321,211,111,111}  | 0.008(0.004)[PDG]     | Lambdac+_P+K-pi+pipi.dat;
{2212,333}	 	 | 0.00082(0.00027)[PDG] | Lambdac+_P+phi1020.dat;
{2212,321,-321}	 	 | 0.00035(0.00017)[PDG] | Lambdac+_P+K+K-.dat;
{2212,211,211,-211,-211} | 0.018(0.012)[PDG]     | Lambdac+_P+pi+pi+pi-pi-.dat;
{2212,10221}             | 0.0028(0.0019)[PDG]   | Lambdac+_P+f0980.dat;
{2212,211,-211}          | 0.0007(0.0007)[PDG]   | Lambdac+_P+pi+pi-.dat;
{2114,211}	 	 | 0.003[EvtGen]	 | Lambdac+_Delta1232pi+.dat;
{2114,213}	 	 | 0.003[EvtGen]	 | Lambdac+_Delta1232rho770+.dat;
{2214,111}	 	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+pi.dat;
{2214,221}	 	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+eta.dat;
{2214,331}	 	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+etaprime958.dat;
{2214,113}	 	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+rho770.dat;
{2214,223}	 	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+omega782.dat;
{2214,-311}	 	 | 0.005[EvtGen]	 | Lambdac+_Delta1232+Kb.dat;
{2214,-313}	 	 | 0.005[EvtGen]	 | Lambdac+_Delta1232+Kstar892b.dat;
{2224,-211}	 	 | 0.001[EvtGen]	 | Lambdac+_Delta1232++pi-.dat;
{2224,-213}	 	 | 0.001[EvtGen]	 | Lambdac+_Delta1232++rho770-.dat;
{2224,-321}	 	 | 0.0086(0.003[PDG]	 | Lambdac+_Delta1232++K-.dat;
{2224,-323}	 	 | 0.025[EvtGen]	 | Lambdac+_Delta1232++Kstar892-.dat;
#{xxxx,211}	 	 | 0.018(0.006)[PDG]	 | Lambdac+_Lambda1520pi+.dat
#
# Modes with hyperons
#
{3122,211}		 | 0.0107(0.0028)[PDG]   | Lambdac+_Lambdapi+.dat;
{3122,213}		 | 0.036(0.013)[PDG]   	 | Lambdac+_Lambdarho770+.dat;
{3122,321}	 	 | 0.0005(0.00016)[PDG]	 | Lambdac+_LambdaK+.dat;
{3122,323}	 	 | 0.005[EvtGen]	 | Lambdac+_LambdaKstar892+.dat;
{3122,211,113}		 | 0.011(0.005)[PDG]   	 | Lambdac+_Lambdapi+rho770.dat;
{3122,221,211}           | 0.018(0.006)[PDG]     | Lambdac+_Lambdaetapi+.dat;
{3122,223,211}           | 0.018(0.006)[PDG]     | Lambdac+_Lambdaomega782pi+.dat;
{3122,321,-311}          | 0.0047(0.0015)[PDG]   | Lambdac+_LambdaK+Kb.dat;  
{3114,211,211}           | 0.0055(0.0017)[PDG]   | Lambdac+_Sigma1385-pi+pi+.dat;
{3212,211}               | 0.0105(0.0028)[PDG]   | Lambdac+_Sigmapi+.dat;
{3212,213}	 	 | 0.004[EvtGen]	 | Lambdac+_Sigmarho770+.dat;
{3212,321}	 	 | 0.00042(0.00013)[PDG] | Lambdac+_SigmaK+.dat;
{3212,323}	 	 | 0.0028(0.0011)[PDG]	 | Lambdac+_SigmaKstar892+.dat;
{3212,211,111}           | 0.013(0.005)[PDG]     | Lambdac+_Sigmapi+pi.dat;
{3212,211,211,-211}      | 0.0083(0.0031)[PDG]   | Lambdac+_Sigmapi+pi+pi-.dat;
{3222,111}               | 0.0100(0.0034)[PDG]   | Lambdac+_Sigma+pi.dat;
{3222,221}               | 0.0055(0.0023)[PDG]   | Lambdac+_Sigma+eta.dat;
{3222,331}	 	 | 0.002[EvtGen]	 | Lambdac+_Sigma+etaprime958.dat;
{3222,211,-211}          | 0.013(0.005)[PDG]     | Lambdac+_Sigma+pi+pi-.dat;
{3222,311}	 	 | 0.002[EvtGen]	 | Lambdac+_Sigma+K.dat;
{3222,313}	 	 | 0.002[EvtGen]	 | Lambdac+_Sigma+Kstar892.dat;
{3222,113}	 	 | 0.004[EvtGen]	 | Lambdac+_Sigma+rho770.dat;
{3222,223}               | 0.027(0.01)[PDG]      | Lambdac+_Sigma+omega782.dat;
{3222,333}               | 0.0031(0.0009)[PDG]   | Lambdac+_Sigma+phi1020.dat;
{3214,211}	 	 | 0.004[EvtGen]	 | Lambdac+_Sigma1385pi+.dat;
{3214,213}	 	 | 0.004[EvtGen]	 | Lambdac+_Sigma1385rho770+.dat;
{3214,321}	 	 | 0.001[EvtGen]	 | Lambdac+_Sigma1385K+.dat;
